# Bubble Target Strength vs Diameter at 18.0 kHz
# Generated: 2025-09-30 16:58:05
# Model: Medwin_Clay
# Frequency: 18.0 kHz
# Temperature: 8.0°C
# Salinity: 35.0 PSU
# Depth: 500.0 m
# Diameter range: 0.2 - 6.0 mm
# Number of points: 20
#
Diameter_mm,Target_Strength_dB
0.200,-102.742672
0.505,-84.225095
0.811,-74.582768
1.116,-67.372040
1.421,-61.138653
1.726,-55.139140
2.032,-48.709196
2.337,-41.313586
2.642,-38.207134
2.947,-41.359613
3.253,-43.564322
3.558,-44.825747
3.863,-45.563968
4.168,-45.997802
4.474,-46.243100
4.779,-46.365841
5.084,-46.406056
5.389,-46.389284
5.695,nan
6.000,nan
