frequency_kHz,TS_dB,model,bubble_diameter_m,temperature_C,salinity_PSU,depth_m
1.0,-71.14963466668074,Medwin_Clay,0.002,20.0,35.0,10.0
1.003553109203863,-71.10976700873968,Medwin_Clay,0.002,20.0,35.0,10.0
1.0071188429927405,-71.06986450469721,Medwin_Clay,0.002,20.0,35.0,10.0
1.0106972462231618,-71.02992689684002,Medwin_Clay,0.002,20.0,35.0,10.0
1.0142883639110363,-70.98995392627575,Medwin_Clay,0.002,20.0,35.0,10.0
1.0178922412322196,-70.94994533291482,Medwin_Clay,0.002,20.0,35.0,10.0
1.0215089235230825,-70.9099008554522,Medwin_Clay,0.002,20.0,35.0,10.0
1.0251384562810804,-70.86982023134884,Medwin_Clay,0.002,20.0,35.0,10.0
1.0287808851653266,-70.82970319681326,Medwin_Clay,0.002,20.0,35.0,10.0
1.0324362559971658,-70.78954948678265,Medwin_Clay,0.002,20.0,35.0,10.0
1.036104614760751,-70.74935883490409,Medwin_Clay,0.002,20.0,35.0,10.0
1.0397860076036225,-70.70913097351544,Medwin_Clay,0.002,20.0,35.0,10.0
1.0434804808372868,-70.66886563362618,Medwin_Clay,0.002,20.0,35.0,10.0
1.0471880809378011,-70.62856254489803,Medwin_Clay,0.002,20.0,35.0,10.0
1.0509088545463567,-70.58822143562537,Medwin_Clay,0.002,20.0,35.0,10.0
1.0546428484698664,-70.5478420327156,Medwin_Clay,0.002,20.0,35.0,10.0
1.058390109681553,-70.5074240616692,Medwin_Clay,0.002,20.0,35.0,10.0
1.06215068532154,-70.46696724655979,Medwin_Clay,0.002,20.0,35.0,10.0
1.0659246226974453,-70.42647131001377,Medwin_Clay,0.002,20.0,35.0,10.0
1.0697119692849757,-70.38593597319004,Medwin_Clay,0.002,20.0,35.0,10.0
1.0735127727285245,-70.34536095575932,Medwin_Clay,0.002,20.0,35.0,10.0
1.0773270808417708,-70.30474597588343,Medwin_Clay,0.002,20.0,35.0,10.0
1.0811549416082804,-70.2640907501943,Medwin_Clay,0.002,20.0,35.0,10.0
1.0849964031821107,-70.22339499377279,Medwin_Clay,0.002,20.0,35.0,10.0
