frequency_kHz,TS_dB,model,bubble_diameter_m
1.0,-86.0040899758025,Modal,
1.003553109203863,-85.939378623216,Modal,
1.0071188429927405,-85.8746441072478,Modal,
1.0106972462231618,-85.8098862462558,Modal,
1.0142883639110363,-85.7451048569963,Modal,
1.0178922412322196,-85.6802997546965,Modal,
1.0215089235230825,-85.6154707529804,Modal,
1.0251384562810804,-85.5506176638811,Modal,
1.0287808851653266,-85.4857402978334,Modal,
1.0324362559971658,-85.4208384636136,Modal,
1.036104614760751,-85.3559119683803,Modal,
1.0397860076036225,-85.2909606176142,Modal,
1.0434804808372868,-85.2259842151291,Modal,
1.0471880809378011,-85.1609825630356,Modal,
1.0509088545463567,-85.09595546174,Modal,
1.0546428484698664,-85.0309027099087,Modal,
1.058390109681553,-84.9658241044782,Modal,
1.06215068532154,-84.9007194406248,Modal,
1.0659246226974453,-84.8355885117239,Modal,
1.0697119692849757,-84.7704311093651,Modal,
1.0735127727285245,-84.7052470233281,Modal,
1.0773270808417708,-84.6400360415307,Modal,
1.0811549416082804,-84.5747979500715,Modal,
1.0849964031821107,-84.5095325331611,Modal,
1.0888515138884152,-84.4442395731203,Modal,
1.0927203222240522,-84.3789188503672,Modal,
1.0966028768581946,-84.3135701433651,Modal,
1.100499226632942,-84.2481932286538,Modal,
1.1044094205639357,-84.1827878807972,Modal,
1.1083335078409742,-84.1173538723763,Modal,
1.1122715378286336,-84.0518909739373,Modal,
1.1162235600668873,-83.9863989540219,Modal,
1.1201896242717297,-83.9208775791151,Modal,
1.1241697803358013,-83.8553266136223,Modal,
1.128164078329017,-83.7897458198646,Modal,
1.1321725684991955,-83.7241349580245,Modal,
1.136195301272691,-83.6584937861778,Modal,
1.140232327255029,-83.5928220602227,Modal,
1.1442836972315409,-83.5271195338758,Modal,
1.1483494621680046,-83.4613859586528,Modal,
1.1524296732112846,-83.3956210838337,Modal,
1.1565243816899764,-83.3298246564631,Modal,
1.1606336391150511,-83.26399642128,Modal,
1.1647574971805037,-83.1981361207585,Modal,
1.168896007764004,-83.1322434950222,Modal,
1.173049222927549,-83.0663182818643,Modal,
1.1772171949181172,-83.0003602166876,Modal,
1.1813999761683265,-82.9343690325137,Modal,
1.1855976192970936,-82.8683444599179,Modal,
1.189810177110296,-82.8022862270579,Modal,
