# Bubble Target Strength vs Diameter at 18.0 kHz
# Generated: 2025-10-08 10:46:48
# Model: Medwin_Clay
# Frequency: 18.0 kHz
# Temperature: 8.0°C
# Salinity: 35.0 PSU
# Depth: 500.0 m
# Diameter range: 0.2 - 10.0 mm
# Number of points: 100
#
Diameter_mm,Target_Strength_dB
0.200,-102.474945
0.299,-94.285527
0.398,-88.756786
0.497,-84.446675
0.596,-80.852665
0.695,-77.732903
0.794,-74.948464
0.893,-72.410460
0.992,-70.057535
1.091,-67.844693
1.190,-65.737128
1.289,-63.706495
1.388,-61.728466
1.487,-59.780991
1.586,-57.842934
1.685,-55.892896
1.784,-53.908151
1.883,-51.863779
1.982,-49.732522
2.081,-47.487219
2.180,-45.111870
2.279,-42.639603
2.378,-40.259320
2.477,-38.482389
2.576,-37.934312
2.675,-38.524437
2.774,-39.586989
2.873,-40.674188
2.972,-41.634994
3.071,-42.446043
3.170,-43.121779
3.269,-43.683897
3.368,-44.152613
3.467,-44.544766
3.566,-44.873903
3.665,-45.150825
3.764,-45.384157
3.863,-45.580829
3.962,-45.746451
4.061,-45.885601
4.160,-46.002049
4.259,-46.098921
4.358,-46.178829
4.457,-46.243972
4.556,-46.296211
4.655,-46.337133
4.754,-46.368097
4.853,-46.390271
4.952,-46.404670
5.051,-46.412172
5.149,-46.413545
5.248,-46.409460
5.347,-46.400509
5.446,-46.387213
5.545,-46.370033
5.644,-46.342170
5.743,-46.318777
5.842,-46.292568
5.941,-46.263835
6.040,-46.232839
6.139,-46.199817
6.238,-46.164980
6.337,-46.128518
6.436,-46.090602
6.535,-46.051390
6.634,-46.011020
6.733,-45.969621
6.832,-45.927308
6.931,-45.884186
7.030,-45.840351
7.129,-45.795891
7.228,-45.750885
7.327,-45.705404
7.426,-45.659516
7.525,-45.613282
7.624,-45.566755
7.723,-45.519988
7.822,-45.473027
7.921,-45.425913
8.020,-45.378687
8.119,-45.331383
8.218,-45.284036
8.317,-45.236674
8.416,-45.189325
8.515,-45.142016
8.614,-45.094768
8.713,-45.047604
8.812,-45.000543
8.911,-44.953603
9.010,-44.906800
9.109,-44.860151
9.208,-44.813667
9.307,-44.767363
9.406,-44.721249
9.505,-44.675337
9.604,-44.629636
9.703,-44.584155
9.802,-44.538901
9.901,-44.493883
10.000,-44.449107
