frequency_kHz,TS_dB,model,bubble_diameter_m,temperature_C,salinity_PSU,depth_m
1.0,-71.03674895156857,Medwin_Clay,0.002,20.0,35.0,10.0
1.003553109203863,-70.99697587698532,Medwin_Clay,0.002,20.0,35.0,10.0
1.0071188429927405,-70.9571672832067,Medwin_Clay,0.002,20.0,35.0,10.0
1.0106972462231618,-70.91732291209765,Medwin_Clay,0.002,20.0,35.0,10.0
1.0142883639110363,-70.87744250431035,Medwin_Clay,0.002,20.0,35.0,10.0
1.0178922412322196,-70.83752579926607,Medwin_Clay,0.002,20.0,35.0,10.0
1.0215089235230825,-70.7975725351368,Medwin_Clay,0.002,20.0,35.0,10.0
1.0251384562810804,-70.75758244882658,Medwin_Clay,0.002,20.0,35.0,10.0
1.0287808851653266,-70.71755527595298,Medwin_Clay,0.002,20.0,35.0,10.0
1.0324362559971658,-70.67749075082817,Medwin_Clay,0.002,20.0,35.0,10.0
1.036104614760751,-70.63738860643991,Medwin_Clay,0.002,20.0,35.0,10.0
1.0397860076036225,-70.59724857443244,Medwin_Clay,0.002,20.0,35.0,10.0
1.0434804808372868,-70.55707038508709,Medwin_Clay,0.002,20.0,35.0,10.0
1.0471880809378011,-70.51685376730285,Medwin_Clay,0.002,20.0,35.0,10.0
1.0509088545463567,-70.47659844857662,Medwin_Clay,0.002,20.0,35.0,10.0
1.0546428484698664,-70.4363041549835,Medwin_Clay,0.002,20.0,35.0,10.0
1.058390109681553,-70.39597061115663,Medwin_Clay,0.002,20.0,35.0,10.0
1.06215068532154,-70.3555975402671,Medwin_Clay,0.002,20.0,35.0,10.0
1.0659246226974453,-70.31518466400354,Medwin_Clay,0.002,20.0,35.0,10.0
1.0697119692849757,-70.27473170255153,Medwin_Clay,0.002,20.0,35.0,10.0
1.0735127727285245,-70.23423837457293,Medwin_Clay,0.002,20.0,35.0,10.0
1.0773270808417708,-70.19370439718483,Medwin_Clay,0.002,20.0,35.0,10.0
1.0811549416082804,-70.15312948593849,Medwin_Clay,0.002,20.0,35.0,10.0
1.0849964031821107,-70.112513354798,Medwin_Clay,0.002,20.0,35.0,10.0
1.0888515138884152,-70.07185571611865,Medwin_Clay,0.002,20.0,35.0,10.0
1.0927203222240522,-70.03115628062531,Medwin_Clay,0.002,20.0,35.0,10.0
1.0966028768581946,-69.99041475739041,Medwin_Clay,0.002,20.0,35.0,10.0
1.100499226632942,-69.94963085381174,Medwin_Clay,0.002,20.0,35.0,10.0
1.1044094205639357,-69.90880427559011,Medwin_Clay,0.002,20.0,35.0,10.0
1.1083335078409742,-69.86793472670675,Medwin_Clay,0.002,20.0,35.0,10.0
1.1122715378286336,-69.82702190940043,Medwin_Clay,0.002,20.0,35.0,10.0
1.1162235600668873,-69.7860655241444,Medwin_Clay,0.002,20.0,35.0,10.0
1.1201896242717297,-69.7450652696232,Medwin_Clay,0.002,20.0,35.0,10.0
1.1241697803358013,-69.70402084270896,Medwin_Clay,0.002,20.0,35.0,10.0
1.128164078329017,-69.66293193843777,Medwin_Clay,0.002,20.0,35.0,10.0
1.1321725684991955,-69.62179824998559,Medwin_Clay,0.002,20.0,35.0,10.0
1.136195301272691,-69.580619468644,Medwin_Clay,0.002,20.0,35.0,10.0
1.140232327255029,-69.53939528379573,Medwin_Clay,0.002,20.0,35.0,10.0
1.1442836972315409,-69.49812538288977,Medwin_Clay,0.002,20.0,35.0,10.0
1.1483494621680046,-69.45680945141645,Medwin_Clay,0.002,20.0,35.0,10.0
1.1524296732112846,-69.41544717288205,Medwin_Clay,0.002,20.0,35.0,10.0
1.1565243816899764,-69.37403822878329,Medwin_Clay,0.002,20.0,35.0,10.0
1.1606336391150511,-69.33258229858143,Medwin_Clay,0.002,20.0,35.0,10.0
1.1647574971805037,-69.29107905967611,Medwin_Clay,0.002,20.0,35.0,10.0
1.168896007764004,-69.24952818737898,Medwin_Clay,0.002,20.0,35.0,10.0
1.173049222927549,-69.20792935488703,Medwin_Clay,0.002,20.0,35.0,10.0
1.1772171949181172,-69.16628223325543,Medwin_Clay,0.002,20.0,35.0,10.0
1.1813999761683265,-69.12458649137038,Medwin_Clay,0.002,20.0,35.0,10.0
1.1855976192970936,-69.0828417959214,Medwin_Clay,0.002,20.0,35.0,10.0
1.189810177110296,-69.04104781137343,Medwin_Clay,0.002,20.0,35.0,10.0
1.1940377026014364,-68.99920419993862,Medwin_Clay,0.002,20.0,35.0,10.0
1.198280248952309,-68.95731062154769,Medwin_Clay,0.002,20.0,35.0,10.0
1.2025378695336686,-68.91536673382114,Medwin_Clay,0.002,20.0,35.0,10.0
1.2068106179059024,-68.87337219203987,Medwin_Clay,0.002,20.0,35.0,10.0
1.2110985478197034,-68.8313266491158,Medwin_Clay,0.002,20.0,35.0,10.0
1.2154017132167467,-68.78922975556176,Medwin_Clay,0.002,20.0,35.0,10.0
1.2197201682303678,-68.7470811594614,Medwin_Clay,0.002,20.0,35.0,10.0
1.2240539671862445,-68.7048805064385,Medwin_Clay,0.002,20.0,35.0,10.0
1.2284031646030789,-68.66262743962591,Medwin_Clay,0.002,20.0,35.0,10.0
1.2327678151932844,-68.62032159963431,Medwin_Clay,0.002,20.0,35.0,10.0
1.2371479738636737,-68.5779626245204,Medwin_Clay,0.002,20.0,35.0,10.0
1.241543695716149,-68.53555014975484,Medwin_Clay,0.002,20.0,35.0,10.0
1.2459550360483962,-68.4930838081897,Medwin_Clay,0.002,20.0,35.0,10.0
1.250382050354579,-68.45056323002555,Medwin_Clay,0.002,20.0,35.0,10.0
1.2548247943260389,-68.40798804277824,Medwin_Clay,0.002,20.0,35.0,10.0
1.2592833238519943,-68.36535787124505,Medwin_Clay,0.002,20.0,35.0,10.0
1.2637576950202438,-68.32267233747066,Medwin_Clay,0.002,20.0,35.0,10.0
1.268247964117873,-68.27993106071253,Medwin_Clay,0.002,20.0,35.0,10.0
1.2727541876319606,-68.23713365740596,Medwin_Clay,0.002,20.0,35.0,10.0
1.2772764222502908,-68.1942797411286,Medwin_Clay,0.002,20.0,35.0,10.0
1.2818147248620655,-68.1513689225646,Medwin_Clay,0.002,20.0,35.0,10.0
1.2863691525586198,-68.10840080946824,Medwin_Clay,0.002,20.0,35.0,10.0
1.2909397626341412,-68.06537500662719,Medwin_Clay,0.002,20.0,35.0,10.0
1.2955266125863893,-68.02229111582518,Medwin_Clay,0.002,20.0,35.0,10.0
1.3001297601174193,-67.97914873580423,Medwin_Clay,0.002,20.0,35.0,10.0
1.3047492631343087,-67.93594746222647,Medwin_Clay,0.002,20.0,35.0,10.0
1.3093851797498846,-67.89268688763532,Medwin_Clay,0.002,20.0,35.0,10.0
1.3140375682834555,-67.84936660141634,Medwin_Clay,0.002,20.0,35.0,10.0
1.3187064872615453,-67.80598618975729,Medwin_Clay,0.002,20.0,35.0,10.0
1.323391995418628,-67.76254523560804,Medwin_Clay,0.002,20.0,35.0,10.0
1.3280941516978686,-67.71904331863962,Medwin_Clay,0.002,20.0,35.0,10.0
1.3328130152518627,-67.67548001520285,Medwin_Clay,0.002,20.0,35.0,10.0
1.3375486454433825,-67.63185489828648,Medwin_Clay,0.002,20.0,35.0,10.0
1.3423011018461217,-67.58816753747462,Medwin_Clay,0.002,20.0,35.0,10.0
1.3470704442454466,-67.5444174989037,Medwin_Clay,0.002,20.0,35.0,10.0
1.3518567326391469,-67.50060434521887,Medwin_Clay,0.002,20.0,35.0,10.0
1.356660027238191,-67.45672763552973,Medwin_Clay,0.002,20.0,35.0,10.0
1.361480388467484,-67.41278692536541,Medwin_Clay,0.002,20.0,35.0,10.0
1.3663178769666267,-67.36878176662916,Medwin_Clay,0.002,20.0,35.0,10.0
1.3711725535906794,-67.3247117075523,Medwin_Clay,0.002,20.0,35.0,10.0
1.3760444794109266,-67.28057629264735,Medwin_Clay,0.002,20.0,35.0,10.0
1.3809337157156465,-67.23637506266081,Medwin_Clay,0.002,20.0,35.0,10.0
1.3858403240108803,-67.19210755452495,Medwin_Clay,0.002,20.0,35.0,10.0
1.3907643660212077,-67.14777330130916,Medwin_Clay,0.002,20.0,35.0,10.0
1.3957059036905224,-67.10337183217052,Medwin_Clay,0.002,20.0,35.0,10.0
1.400664999182811,-67.05890267230372,Medwin_Clay,0.002,20.0,35.0,10.0
1.405641714882936,-67.01436534289014,Medwin_Clay,0.002,20.0,35.0,10.0
1.4106361133974203,-66.96975936104637,Medwin_Clay,0.002,20.0,35.0,10.0
1.415648257555234,-66.92508423977185,Medwin_Clay,0.002,20.0,35.0,10.0
1.4206782104085862,-66.88033948789587,Medwin_Clay,0.002,20.0,35.0,10.0
1.4257260352337164,-66.8355246100237,Medwin_Clay,0.002,20.0,35.0,10.0
1.4307917955316924,-66.79063910648203,Medwin_Clay,0.002,20.0,35.0,10.0
1.4358755550292077,-66.7456824732635,Medwin_Clay,0.002,20.0,35.0,10.0
1.4409773776793837,-66.70065420197058,Medwin_Clay,0.002,20.0,35.0,10.0
1.4460973276625746,-66.65555377975838,Medwin_Clay,0.002,20.0,35.0,10.0
1.451235469387174,-66.61038068927694,Medwin_Clay,0.002,20.0,35.0,10.0
1.4563918674904262,-66.56513440861231,Medwin_Clay,0.002,20.0,35.0,10.0
1.4615665868392376,-66.51981441122705,Medwin_Clay,0.002,20.0,35.0,10.0
1.4667596925309945,-66.47442016589964,Medwin_Clay,0.002,20.0,35.0,10.0
1.4719712498943816,-66.42895113666309,Medwin_Clay,0.002,20.0,35.0,10.0
1.477201324490203,-66.38340678274258,Medwin_Clay,0.002,20.0,35.0,10.0
1.4824499821122077,-66.33778655849211,Medwin_Clay,0.002,20.0,35.0,10.0
1.4877172887879169,-66.29208991333036,Medwin_Clay,0.002,20.0,35.0,10.0
1.4930033107794551,-66.2463162916753,Medwin_Clay,0.002,20.0,35.0,10.0
1.4983081145843835,-66.20046513287802,Medwin_Clay,0.002,20.0,35.0,10.0
1.503631766936536,-66.1545358711555,Medwin_Clay,0.002,20.0,35.0,10.0
1.5089743348068587,-66.1085279355222,Medwin_Clay,0.002,20.0,35.0,10.0
1.514335885404254,-66.06244074972082,Medwin_Clay,0.002,20.0,35.0,10.0
1.5197164861764239,-66.01627373215175,Medwin_Clay,0.002,20.0,35.0,10.0
1.5251162048107196,-65.97002629580157,Medwin_Clay,0.002,20.0,35.0,10.0
1.530535109234993,-65.9236978481704,Medwin_Clay,0.002,20.0,35.0,10.0
1.5359732676184512,-65.87728779119803,Medwin_Clay,0.002,20.0,35.0,10.0
1.5414307483725138,-65.83079552118896,Medwin_Clay,0.002,20.0,35.0,10.0
1.5469076201516736,-65.78422042873623,Medwin_Clay,0.002,20.0,35.0,10.0
1.5524039518543602,-65.73756189864405,Medwin_Clay,0.002,20.0,35.0,10.0
1.557919812623807,-65.69081930984906,Medwin_Clay,0.002,20.0,35.0,10.0
1.5634552718489212,-65.64399203534063,Medwin_Clay,0.002,20.0,35.0,10.0
1.5690103991651556,-65.59707944207943,Medwin_Clay,0.002,20.0,35.0,10.0
1.574585264455386,-65.55008089091517,Medwin_Clay,0.002,20.0,35.0,10.0
1.5801799378507893,-65.50299573650254,Medwin_Clay,0.002,20.0,35.0,10.0
1.5857944897317267,-65.4558233272162,Medwin_Clay,0.002,20.0,35.0,10.0
1.5914289907286276,-65.40856300506397,Medwin_Clay,0.002,20.0,35.0,10.0
1.5970835117228797,-65.36121410559898,Medwin_Clay,0.002,20.0,35.0,10.0
1.60275812384772,-65.31377595783005,Medwin_Clay,0.002,20.0,35.0,10.0
1.6084528984891295,-65.26624788413079,Medwin_Clay,0.002,20.0,35.0,10.0
1.6141679072867312,-65.21862920014705,Medwin_Clay,0.002,20.0,35.0,10.0
1.6199032221346918,-65.17091921470295,Medwin_Clay,0.002,20.0,35.0,10.0
1.6256589151826257,-65.12311722970522,Medwin_Clay,0.002,20.0,35.0,10.0
1.6314350588365032,-65.075222540046,Medwin_Clay,0.002,20.0,35.0,10.0
1.6372317257595599,-65.02723443350398,Medwin_Clay,0.002,20.0,35.0,10.0
1.6430489888732125,-64.97915219064382,Medwin_Clay,0.002,20.0,35.0,10.0
1.6488869213579755,-64.93097508471394,Medwin_Clay,0.002,20.0,35.0,10.0
1.6547455966543818,-64.88270238154246,Medwin_Clay,0.002,20.0,35.0,10.0
1.6606250884639062,-64.83433333943145,Medwin_Clay,0.002,20.0,35.0,10.0
1.666525470749893,-64.78586720904929,Medwin_Clay,0.002,20.0,35.0,10.0
1.6724468177384864,-64.73730323332121,Medwin_Clay,0.002,20.0,35.0,10.0
1.6783892039195645,-64.68864064731784,Medwin_Clay,0.002,20.0,35.0,10.0
1.6843527040476753,-64.63987867814201,Medwin_Clay,0.002,20.0,35.0,10.0
1.6903373931429784,-64.5910165448133,Medwin_Clay,0.002,20.0,35.0,10.0
