frequency_kHz,TS_dB,model,bubble_diameter_m,temperature_C,salinity_PSU,depth_m
1.0,-108.59062156167093,Medwin_Clay,0.0005,10.0,35.0,50.0
1.003553109203863,-108.52635109645341,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0071188429927405,-108.46213289331708,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0106972462231618,-108.39796733121511,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0142883639110363,-108.3338547893991,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0178922412322196,-108.26979564738942,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0215089235230825,-108.20579028494522,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0251384562810804,-108.14183908203412,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0287808851653266,-108.07794241880123,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0324362559971658,-108.01410067553788,Medwin_Clay,0.0005,10.0,35.0,50.0
1.036104614760751,-107.95031423264994,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0397860076036225,-107.88658347062578,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0434804808372868,-107.82290877000358,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0471880809378011,-107.75929051133852,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0509088545463567,-107.69572907516931,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0546428484698664,-107.63222484198448,Medwin_Clay,0.0005,10.0,35.0,50.0
1.058390109681553,-107.56877819218815,Medwin_Clay,0.0005,10.0,35.0,50.0
1.06215068532154,-107.50538950606553,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0659246226974453,-107.44205916374779,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0697119692849757,-107.37878754517679,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0735127727285245,-107.31557503006933,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0773270808417708,-107.25242199788084,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0811549416082804,-107.18932882776896,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0849964031821107,-107.1262958985565,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0888515138884152,-107.06332358869426,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0927203222240522,-107.00041227622322,Medwin_Clay,0.0005,10.0,35.0,50.0
1.0966028768581946,-106.93756233873651,Medwin_Clay,0.0005,10.0,35.0,50.0
1.100499226632942,-106.87477415334108,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1044094205639357,-106.81204809661881,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1083335078409742,-106.74938454458753,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1122715378286336,-106.68678387266134,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1162235600668873,-106.62424645561104,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1201896242717297,-106.56177266752381,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1241697803358013,-106.4993628817628,Medwin_Clay,0.0005,10.0,35.0,50.0
1.128164078329017,-106.43701747092636,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1321725684991955,-106.37473680680688,Medwin_Clay,0.0005,10.0,35.0,50.0
1.136195301272691,-106.31252126034938,Medwin_Clay,0.0005,10.0,35.0,50.0
1.140232327255029,-106.25037120160985,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1442836972315409,-106.18828699971317,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1483494621680046,-106.12626902281082,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1524296732112846,-106.06431763803837,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1565243816899764,-106.00243321147249,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1606336391150511,-105.94061610808807,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1647574971805037,-105.87886669171453,Medwin_Clay,0.0005,10.0,35.0,50.0
1.168896007764004,-105.8171853249926,Medwin_Clay,0.0005,10.0,35.0,50.0
1.173049222927549,-105.7555723693301,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1772171949181172,-105.69402818485811,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1813999761683265,-105.63255313038658,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1855976192970936,-105.5711475633598,Medwin_Clay,0.0005,10.0,35.0,50.0
1.189810177110296,-105.5098118398118,Medwin_Clay,0.0005,10.0,35.0,50.0
1.1940377026014364,-105.4485463143213,Medwin_Clay,0.0005,10.0,35.0,50.0
1.198280248952309,-105.38735133996678,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2025378695336686,-105.32622726828106,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2068106179059024,-105.26517444920606,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2110985478197034,-105.20419323104713,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2154017132167467,-105.1432839604274,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2197201682303678,-105.08244698224183,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2240539671862445,-105.02168263961146,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2284031646030789,-104.96099127383712,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2327678151932844,-104.90037322435342,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2371479738636737,-104.83982882868246,Medwin_Clay,0.0005,10.0,35.0,50.0
1.241543695716149,-104.7793584223875,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2459550360483962,-104.7189623390266,Medwin_Clay,0.0005,10.0,35.0,50.0
1.250382050354579,-104.65864091010613,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2548247943260389,-104.59839446503436,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2592833238519943,-104.53822333107493,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2637576950202438,-104.47812783330035,Medwin_Clay,0.0005,10.0,35.0,50.0
1.268247964117873,-104.41810829454542,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2727541876319606,-104.35816503536086,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2772764222502908,-104.29829837396659,Medwin_Clay,0.0005,10.0,35.0,50.0
1.2818147248620655,-104.23850862620554,Medwin_Clay,0.0005,10.0,35.0,50.0
